"Amazon ECS Customer Reference Requirements 
The following requirements relate to how Amazon ECS was used in each provided customer reference.",,,,,
ID,Requirement Description,ACI-MTL,,Valmetal,
,,Met?,Partner Response,Met?,Partner Response
Amazon ECS Expertise,,,,,
The following requirements relate to the AWS Partner's ability to demonstrate deep expertise with Amazon ECS in the context of the provided customer references.,,,,,
,,,,,
ECS-001,"Amazon ECS represents majority of the workload 
Amazon ECS is used to manage majority of all workloads and core data flows for the system. Amazon Elastic Compute Cloud instances (EC2 or Fargate) should be used to manage the underlying infrastructure of the Amazon ECS cluster. 

Please provide the following as evidence:

  * List of workloads/components that are being deployed to Amazon ECS
  * The output of running the following command:  aws ecs list-tasks
",,"The complete ACI-MTL application is containerized and deployed on Amazon ECS

There are 2 components on ECS:
1. Frontend (web app)
SSR frontend running on containers

2. Backend API
- core business logic
- API for web application frontend
- integration with other systems
The backend service runs on Amazon ECS and handles all core 
business logic
The service processes requests, to serve the UI
The service interacts with other AWS services including RDS database and S3 for document storage

# List clusters
> aws ecs list-clusters

clusterArns:
- arn:aws:ecs:ca-central-1:484907525335:cluster/acimtl-prod-web-client
- arn:aws:ecs:ca-central-1:484907525335:cluster/acimtl-prod-api

# List tasks for web client
> aws ecs list-tasks --cluster acimtl-prod-web-client

taskArns:
- arn:aws:ecs:ca-central-1:484907525335:task/acimtl-prod-web-client/acec54f623894240804eae1ec13867b9

# List tasks for backend api
> aws ecs list-tasks --cluster acimtl-prod-api       

taskArns:
- arn:aws:ecs:ca-central-1:484907525335:task/acimtl-prod-api/09d11cc6e2454d5e8b16ee472ea5eaaf",,"Valmetal web application is containerized and deployed on Amazon ECS. There also some lambda functions involved in this solution but ECS is the core compute service used.

There are 2 components on ECS:
1. Frontend (web app)
SSR frontend running on containers

2. Backend API
- core business logic
- API for web application frontend
- integration with other systems
The backend service runs on Amazon ECS and handles all core 
business logic
The service processes requests, to serve the UI
The service interacts with other AWS services including RDS database and S3 for document storage

# List clusters
> aws ecs list-clusters

clusterArns:
- arn:aws:ecs:us-east-1:628892762446:cluster/valmetal-prod-web-client
- arn:aws:ecs:us-east-1:628892762446:cluster/valmetal-prod-backend-api

# List tasks for web client
> aws ecs list-tasks --cluster valmetal-prod-web-client

taskArns:
- arn:aws:ecs:us-east-1:628892762446:task/valmetal-prod-web-client/4822ca6be77f49429c091d1430a89f41

# List tasks for backend api
> aws ecs list-tasks --cluster valmetal-prod-backend-api

taskArns:
- arn:aws:ecs:us-east-1:628892762446:task/valmetal-prod-backend-api/9c9fbdab99cd4d6fa5327283f51ab38f"
ECS-002,"Changes to infrastructure and workloads are deployed and updated in an automated and reliable way 
Changes to the infrastructure and workloads are automated using infrastructure as code tooling such as AWS CloudFormation, AWS CDK, or other third-party infrastructure as code tooling. These technical artifacts (both infrastructure and workload) must be version controlled and stored in a source repository such as GitHub. The tool being used must have rollback procedures in place in case of failure. *Changes to production clusters/environment cannot be managed/conducted through the AWS management console.

Please provide the following as evidence:

  * Infrastructure as code tooling used to manage infrastructure
  * Description of the tools used for automated deployment
  * Description of deployment process and rollback procedures
  * Description of source repository that stores infrastructure and task definition files in source control
  * Version control system used to manage technical artifacts
  * Description of CI/CD tooling to automate updates to underlying workloads
",,"Infrastructure as code tooling: AWS CDK (TypeScript)
Description of the tools used for automated deployment:

AWS CDK for infrastructure provisioning and ECS service management
GitHub Actions for CI/CD pipeline orchestration
Docker for containerized application builds
Amazon ECR for container image storage and versioning

Description of deployment process and rollback procedures:

Developer commits code changes to feature branch in GitHub (Pull Request)
  - Pull request triggers code review and automated testing pipeline

Upon merge to main branch, GitHub Actions workflow initiates:
  - Automated linting, unit tests, component tests, and end-to-end tests
  - Container images built and tagged with Git commit SHA
  - Images pushed to Amazon ECR
  - CDK deploys infrastructure changes to staging environment (replica of production)
  - Automated health checks validate staging deployment functionality
  - If staging validation passes, production deployment begins with ECS service updates
  - Post-deployment health monitoring with CloudWatch alarms
  - Automatic rollback triggered if health checks fail or monitoring indicates issues

Rollback procedures:

- Automated health checks post-deployment assess service health metrics
- Automatic rollback triggered if health checks fail within monitoring window
- CloudWatch alarms monitored during deployment to detect anomalies
- Previous task definition versions remain available for rollback
- Manual rollback procedures available for emergency situations

Description of source repository that stores infrastructure and task definition files:
- GitHub repository with branch protection policies requiring code reviews. All infrastructure code, ECS task definitions, and application configuration stored under version control.

Version control system used to manage technical artifacts:
- Git with container image tags corresponding to Git commit SHAs, ensuring traceability from code commit to deployed infrastructure.

Description of CI/CD tooling to automate updates to underlying workloads:
- GitHub Actions workflows orchestrate the deployment pipeline, integrating with AWS services to automate ECS task definition updates and service deployments. Zero manual changes permitted in production environment - all modifications flow through the version-controlled Infrastructure deployment pipeline.",,"Infrastructure as code tooling: AWS CDK (TypeScript)
Description of the tools used for automated deployment:

AWS CDK for infrastructure provisioning and ECS service management
GitHub Actions for CI/CD pipeline orchestration
Docker for containerized application builds
Amazon ECR for container image storage and versioning

Description of deployment process and rollback procedures:

Developer commits code changes to feature branch in GitHub (Pull Request)
  - Pull request triggers code review and automated testing pipeline

Upon merge to main branch, GitHub Actions workflow initiates:
  - Automated linting, unit tests, component tests, and end-to-end tests
  - Container images built and tagged with Git commit SHA
  - Images pushed to Amazon ECR
  - CDK deploys infrastructure changes to staging environment (replica of production)
  - Automated health checks validate staging deployment functionality
  - If staging validation passes, production deployment begins with ECS service updates
  - Post-deployment health monitoring with CloudWatch alarms
  - Automatic rollback triggered if health checks fail or monitoring indicates issues

Rollback procedures:

- Automated health checks post-deployment assess service health metrics
- Automatic rollback triggered if health checks fail within monitoring window
- CloudWatch alarms monitored during deployment to detect anomalies
- Previous task definition versions remain available for rollback
- Manual rollback procedures available for emergency situations

Description of source repository that stores infrastructure and task definition files:
- GitHub repository with branch protection policies requiring code reviews. All infrastructure code, ECS task definitions, and application configuration stored under version control.

Version control system used to manage technical artifacts:
- Git with container image tags corresponding to Git commit SHAs, ensuring traceability from code commit to deployed infrastructure.

Description of CI/CD tooling to automate updates to underlying workloads:
- GitHub Actions workflows orchestrate the deployment pipeline, integrating with AWS services to automate ECS task definition updates and service deployments. Zero manual changes permitted in production environment - all modifications flow through the version-controlled Infrastructure deployment pipeline."
ECS-003,"Amazon ECS task definition families are used for a singular business purpose 
In the context of Amazon Elastic Container Service (ECS), a singular business purpose task is a task that runs a single application process in a container image. This approach is considered best practice when deploying containers on ECS because it ensures that each container image is focused on a single, well-defined function. Having a single purpose for each container makes it easier to manage and maintain the containers, as well as to scale and update individual components. It also improves security by reducing the attack surface and making it easier to apply security patches to specific components.

Please provide the following as evidence:

  * Provide a list of created task definitions and description of their business functions.
",,"There are 2 task definitions ECS on each environment:

> aws ecs list-task-definitions

taskDefinitionArns:
- arn:aws:ecs:ca-central-1:484907525335:task-definition/acimtl-prod-web-client:17
- arn:aws:ecs:ca-central-1:484907525335:task-definition/acimtl-prod-api:17

1. acimtl-prod-web-client : Frontend (web app)
Server-side rendering frontend implemented with NodeJS/NextJS running on containers

2. acimtl-prod-api : Backend API
- core business logic
- API for web application frontend
- integration with other systems
The backend service runs on Amazon ECS and handles all core 
business logic
The service processes requests, to serve the UI
The service interacts with other AWS services including RDS database and S3 for document storage",,"There are 2 task definitions ECS on each environment:

> aws ecs list-task-definitions

taskDefinitionArns:
- arn:aws:ecs:us-east-1:628892762446:task-definition/valmetal-prod-backend-api:37
- arn:aws:ecs:us-east-1:628892762446:task-definition/valmetal-prod-web-client:20

1. valmetal-prod-web-client : Frontend (web app)
Server-side rendering frontend implemented with NodeJS/NextJS running on containers

2. valmetal-prod-backend-api : Backend API
- core business logic
- API for web application frontend
- integration with other systems
The backend service runs on Amazon ECS and handles all core 
business logic
The service processes requests, to serve the UI
The service interacts with other AWS services including RDS database and S3 for document storage"
ECS-004,"Tagging strategy and Amazon ECS Managed Tags and Tag Propagation is implemented 
To ensure that application versions are tagged appropriately and Amazon ECS Managed Tags and Tag Propagation are enabled, the following practices should be followed:

  * There should be a one-to-one mapping between a version of application code, a container image tag, and a task definition revision. As part of the release process, a git commit should be turned into a container image that has its own associated git commit SHA. That container image tag should then get its own Amazon ECS task definition update.
  * Amazon ECS Managed Tags and Tag Propagation should be enabled to attach and propagate tags on the tasks that the service launches. This is useful for usage and billing reports and can provide insight into resource usage.
  * The tag dimensions should accurately represent how tasks are launched within an Amazon ECS cluster. Example dimensions can include environment=production or application=storefront.

Please provide the following as evidence:

  * Description of tagging strategy used by the partner to ensure application versions are tagged appropriately based on running task definitions
  * Description of tag dimensions that accurately represent how tasks are launched within an Amazon ECS cluster
  * Example of tag dimensions being used within and/or across Amazon ECS clusters that demonstrate that tasks are being mapped to singular business processes.
",,"Description of tagging strategy used to ensure application versions are tagged appropriately:
We implement strict one-to-one mapping between application code version, container image tag, and task definition revision:

Each Git commit that changes application code triggers a new container build
Container images are tagged with the Git commit SHA (e.g., valmetal-api:7bd4e21)
Task definition revisions directly reference these specific image tags with full registry path
CI/CD pipeline ensures each task definition revision in production has traceable lineage to specific code version
Amazon ECS Managed Tags enabled with tag propagation to automatically attach tags to tasks and supporting resources

Description of tag dimensions that accurately represent how tasks are launched within Amazon ECS cluster:
Standardized tag dimensions applied consistently across all ECS resources:

Environment: production, staging, development
Version: Git commit SHA for complete traceability

Example of tag dimensions being used within and/or across Amazon ECS clusters:
Production ECS task example tags:
Environment=production
Version=7bd4e21
These tags enable:

Environment-based resource organization and operational filtering
Complete version traceability from deployed tasks back to source code
Automated deployment validation and rollback capabilities
Resource lifecycle management across development, staging, and production environments

Tag propagation ensures consistent tagging from ECS tasks to associated resources including CloudWatch log groups, load balancers, and auto-scaling groups, providing end-to-end visibility across the application infrastructure.",,"Description of tagging strategy used to ensure application versions are tagged appropriately:
We implement strict one-to-one mapping between application code version, container image tag, and task definition revision:

Each Git commit that changes application code triggers a new container build
Container images are tagged with the Git commit SHA (e.g., valmetal-api:7bd4e21)
Task definition revisions directly reference these specific image tags with full registry path
CI/CD pipeline ensures each task definition revision in production has traceable lineage to specific code version
Amazon ECS Managed Tags enabled with tag propagation to automatically attach tags to tasks and supporting resources

Description of tag dimensions that accurately represent how tasks are launched within Amazon ECS cluster:
Standardized tag dimensions applied consistently across all ECS resources:

Environment: production, staging, development
Version: Git commit SHA for complete traceability

Example of tag dimensions being used within and/or across Amazon ECS clusters:
Production ECS task example tags:
Environment=production
Version=7bd4e21
These tags enable:

Environment-based resource organization and operational filtering
Complete version traceability from deployed tasks back to source code
Automated deployment validation and rollback capabilities
Resource lifecycle management across development, staging, and production environments

Tag propagation ensures consistent tagging from ECS tasks to associated resources including CloudWatch log groups, load balancers, and auto-scaling groups, providing end-to-end visibility across the application infrastructure."
